id,categorie,intrebare,raspuns
1,secretariat,Care este programul secretariatului facultății?,"Secretariatul facultății este deschis de luni până vineri, între orele 10:00 și 14:00. În sesiune programul poate fi prelungit până la 16:00. Vă recomandăm să verificați avizierul sau site-ul facultății pentru modificări temporare."
2,secretariat,Cum pot obține o adeverință de student?,"Adeverințele de student se solicită la secretariat sau online, prin platforma facultății, secțiunea Cereri. Adeverința se eliberează în 1-3 zile lucrătoare și poate fi ridicată de la secretariat sau primită pe e-mail, în funcție de opțiunea aleasă."
3,secretariat,Ce documente îmi trebuie pentru a solicita o duplicată a carnetului de student?,"Pentru eliberarea unui duplicat al carnetului de student aveți nevoie de: cerere tip (de la secretariat), copie după cartea de identitate, o fotografie tip buletin și dovada achitării taxei de eliberare a duplicatului."
4,examene,Cum mă înscriu la un examen de restanță?,"Înscrierea la restanțe se face online, pe platforma facultății, în perioada anunțată înainte de sesiunea de restanțe. Trebuie să achitați taxa de restanță (dacă este cazul) și să vă verificați înscrierea în contul de student înainte de examen."
5,examene,Câte prezentări la examen am dreptul pentru o disciplină?,"Pentru fiecare disciplină aveți dreptul la două prezentări gratuite în anul universitar în care este programată disciplina: una în sesiunea normală și una în sesiunea de restanțe. Prezentările suplimentare se fac cu taxă, în regim de reexaminare."
6,examene,Ce se întâmplă dacă nu promovez o materie nici după restanță?,"Dacă nu promovați disciplina nici după sesiunea de restanțe, aceasta rămâne nepromovată și trebuie refăcută în anul următor, în regim de credite restante, cu achitarea taxei aferente. Numărul de credite restante poate afecta promovarea în anul următor."
7,examene,Pot contesta nota primită la un examen?,"Da. Contestațiile se depun în scris la secretariat, în termen de 48 de ore de la afișarea rezultatelor. Contestația se analizează de o comisie, iar rezultatul reevaluării este definitiv. Nota poate rămâne aceeași, poate crește sau poate scădea."
8,examene,Când are loc sesiunea de restanțe?,"Sesiunea de restanțe este programată de regulă la începutul lunii septembrie, înainte de începerea noului an universitar. Pentru semestrul întâi poate exista și o sesiune de restanțe în februarie. Calendarul exact este publicat în structura anului universitar."
9,burse,Ce tipuri de burse pot primi ca student?,"Studenții pot primi burse de merit (pe baza rezultatelor academice), burse sociale (pe baza venitului familiei), burse de performanță (pentru rezultate deosebite) și burse speciale pentru activități științifice, sportive sau culturale."
10,burse,Care este media minimă pentru bursa de merit?,"Media minimă pentru bursa de merit variază în funcție de fondul de burse și de numărul de studenți, dar în general este necesară o medie de cel puțin 8.50. Lista exactă a mediilor se stabilește semestrial și se afișează la avizier."
