intrebare_test,id_asteptat,id_prezis_top1,intrebare_prezisa_top1,scor_top1,rang_raspuns_corect
La ce ore e deschis secretariatul?,1,1,Care este programul secretariatului facultății?,0.261,1
Am nevoie de o adeverinta ca sunt student pentru banca. Cum o obtin?,2,2,Cum pot obține o adeverință de student?,0.558,1
Mi-am pierdut carnetul de student. Ce fac?,3,3,Ce documente îmi trebuie pentru a solicita o duplicată a carnetului de student?,0.34,1
Unde ma inscriu pentru restanta?,4,4,Cum mă înscriu la un examen de restanță?,0.578,1
De cate ori pot da un examen fara sa platesc?,5,7,Pot contesta nota primită la un examen?,0.301,4
Am picat materia si dupa restanta. Ce urmeaza?,6,6,Ce se întâmplă dacă nu promovez o materie nici după restanță?,0.407,1
Nu sunt de acord cu nota de la examen. Pot face contestatie?,7,7,Pot contesta nota primită la un examen?,0.427,1
In ce perioada sunt restantele?,8,24,Cum aflu în ce grupă am fost repartizat?,0.178,3
Ce burse exista pentru studenti?,9,9,Ce tipuri de burse pot primi ca student?,0.377,1
Cu ce medie iau bursa de studiu?,10,39,Ce medie îmi trebuie ca să mă înscriu la master?,0.298,2
Ce dosar trebuie sa fac pentru bursa sociala?,11,11,Ce acte îmi trebuie pentru bursa socială?,0.668,1
Pana cand pot depune dosarul de bursa?,12,12,Când se depun dosarele pentru burse?,0.371,1
Cum aplic pentru camin?,13,13,Cum pot obține un loc în cămin?,0.346,1
Cat platesc pe luna la camin?,14,18,Ce se întâmplă dacă nu plătesc taxa la termen?,0.267,2
Vreau sa ma mut in alta camera de camin. Se poate?,15,15,Pot schimba camera sau căminul în timpul anului?,0.279,1
Cum platesc taxa de studii? Se poate in rate?,16,18,Ce se întâmplă dacă nu plătesc taxa la termen?,0.43,2
Daca am medie mare pot ajunge la buget?,17,17,Pot trece de la taxă la buget?,0.426,1
Am intarziat cu plata taxei. Ce risc?,18,18,Ce se întâmplă dacă nu plătesc taxa la termen?,0.189,1
Cate credite imi trebuie ca sa trec anul?,19,19,Câte credite trebuie să acumulez pentru a promova anul?,0.541,1
Cand aleg optionalele pentru anul viitor?,20,20,Cum îmi aleg disciplinele opționale?,0.339,1
Vreau sa iau o pauza de un an de la facultate. E posibil?,21,38,Primesc banii înapoi dacă mă retrag de la facultate?,0.354,19
Ma pot muta la alta specializare?,22,22,Cum mă pot transfera la altă facultate sau specializare?,0.641,1
Unde vad orarul?,23,23,Unde găsesc orarul grupelor?,0.566,1
Cum aflu grupa din care fac parte?,24,24,Cum aflu în ce grupă am fost repartizat?,0.477,1
Trebuie neaparat sa fac practica?,25,26,Unde pot face practica de specialitate?,0.286,3
La ce firme pot sa fac practica?,26,26,Unde pot face practica de specialitate?,0.339,1
Ce acte predau dupa ce termin stagiul de practica?,27,27,Ce documente trebuie să predau la finalul practicii?,0.291,1
Cand imi aleg subiectul pentru licenta?,28,28,Când trebuie să îmi aleg tema lucrării de licență?,0.53,1
Ce conditii sunt ca sa ma pot prezenta la licenta?,29,29,Care sunt condițiile pentru a mă putea înscrie la examenul de licență?,0.379,1
Cum decurge sustinerea licentei in fata comisiei?,30,13,Cum pot obține un loc în cămin?,0.245,2
Nu ma pot loga pe platforma de cursuri. Cine ma poate ajuta?,31,31,Nu îmi pot accesa contul de pe platforma de e-learning. Ce fac?,0.457,1
Cum imi fac mailul de student?,32,2,Cum pot obține o adeverință de student?,0.349,3
De unde descarc cursurile si laboratoarele?,33,33,Unde găsesc materialele de curs?,0.292,1
Ce trebuie sa fac ca sa plec cu Erasmus?,34,34,Cum pot pleca cu bursă Erasmus?,0.403,1
Daca dau examene in strainatate mi se recunosc acasa?,35,35,Se echivalează examenele date în mobilitatea Erasmus?,0.242,1
Cum vorbesc cu tutorele de an?,36,36,Cum pot lua legătura cu îndrumătorul de an?,0.39,1
Sunt bolnav in ziua examenului. Pierd prezentarea?,37,37,Ce pot face dacă mă îmbolnăvesc chiar în ziua examenului?,0.465,1
Daca renunt la facultate imi recuperez taxa platita?,38,38,Primesc banii înapoi dacă mă retrag de la facultate?,0.365,1
Ce imi trebuie pentru admiterea la master?,39,39,Ce medie îmi trebuie ca să mă înscriu la master?,0.53,1
Ce nu am voie sa fac in camin?,40,40,Ce reguli trebuie să respect în cămin?,0.371,1
